Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage Origin Port,Leg Start Port/anch,In Transit Port Calls,MMSI,Imo,Voyage Origin Port Atd,Vessel Type - Generic,Capacity - Dwt,My Fleets,Flag
GAS MELAWI,DEPARTURE,Port,GRESIK,2021-12-14 04:41 UTC,-,-,Not in Transit,525019602,9119725,2021-12-11 00:05 UTC,Tanker,3053,-,Indonesia
SERVEWELL VIRTUE,DEPARTURE,Port,GRESIK,2021-12-14 04:41 UTC,-,-,Not in Transit,525005200,9656539,2021-12-08 23:32 UTC,Special Craft,-,-,Indonesia
GILIMANUK II,ARRIVAL,Port,GRESIK,2021-12-14 05:08 UTC,GRESIK,GRESIK,Not in Transit,525019470,8994568,2021-12-14 03:28 UTC,Passenger,210,-,Indonesia
PETROKIMIA GRESIK,ARRIVAL,Port,GRESIK,2021-12-14 09:16 UTC,GRESIK,GRESIK,Not in Transit,525010255,0,2021-12-09 11:22 UTC,High Speed Craft,-,-,Indonesia
SMS VINCENT,ARRIVAL,Port,GRESIK,2021-12-14 10:00 UTC,GRESIK,GRESIK,Not in Transit,525019391,9459228,2021-12-14 00:20 UTC,Special Craft,96,-,Indonesia
KLM CAHAYA SETIA,DEPARTURE,Port,GRESIK,2021-12-14 12:41 UTC,-,-,Not in Transit,525600215,0,-,Pleasure Craft,-,-,Indonesia
KLM BINTANG LAUT,DEPARTURE,Port,GRESIK,2021-12-14 12:47 UTC,-,-,Not in Transit,525500306,0,2021-10-12 17:42 UTC,Cargo,-,-,Indonesia
SAMUDERA 01,ARRIVAL,Port,GRESIK,2021-12-14 13:14 UTC,SURABAYA RIVER ANCH,SURABAYA RIVER ANCH,Not in Transit,525101696,9004724,2021-12-14 03:29 UTC,Special Craft,-,-,Indonesia
TB. MARINA 2206,DEPARTURE,Port,GRESIK,2021-12-14 14:26 UTC,-,-,Not in Transit,525020338,0,2021-11-01 10:12 UTC,Tug,-,-,Indonesia
ERAWAN 1,ARRIVAL,Port,GRESIK,2021-12-14 14:54 UTC,SURALAYA,SURALAYA ANCH,Not in Transit,525005350,9152208,2021-12-12 14:23 UTC,Tanker,5980,-,Indonesia
ERAWAN 1,DEPARTURE,Port,GRESIK,2021-12-14 15:12 UTC,-,-,Not in Transit,525005350,9152208,2021-12-12 14:23 UTC,Tanker,5980,-,Indonesia
KM SEJAHTERA 25,DEPARTURE,Port,GRESIK,2021-12-14 15:12 UTC,-,-,Not in Transit,525023081,0,2021-11-16 05:48 UTC,Cargo,-,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-14 15:36 UTC,-,-,Not in Transit,525200068,9793648,2021-12-10 11:25 UTC,Tug,190,-,Indonesia
BLOSSOM PESCADORES,ARRIVAL,Port,GRESIK,2021-12-14 17:11 UTC,KUPANG,SURABAYA ANCH,Not in Transit,525003315,9162306,2021-12-09 22:28 UTC,Cargo,7141,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-14 17:13 UTC,GRESIK,GRESIK,Not in Transit,525200068,9793648,2021-12-14 15:36 UTC,Tug,190,-,Indonesia
WOOJIN CHEMS,ARRIVAL,Port,GRESIK,2021-12-14 17:55 UTC,PELINTUNG,SURABAYA ANCH,Not in Transit,440259000,9220196,2021-12-11 03:21 UTC,Tanker,12675,-,Korea
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-14 22:04 UTC,-,-,Not in Transit,525200068,9793648,2021-12-14 15:36 UTC,Tug,190,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-14 22:37 UTC,GRESIK,GRESIK,Not in Transit,525200068,9793648,2021-12-14 22:04 UTC,Tug,190,-,Indonesia
GAS AMARIN JAYA,ARRIVAL,Port,GRESIK,2021-12-14 23:41 UTC,KALBUT,SURABAYA ANCH,Not in Transit,525900619,9364966,2021-12-14 01:39 UTC,Tanker,16800,-,Indonesia
GLORIA SENTOSA,ARRIVAL,Port,GRESIK,2021-12-15 05:17 UTC,KARAPAN ARMADA STERL,KARAPAN ARMADA STERL,Not in Transit,525006041,9047958,2021-12-13 10:39 UTC,Tanker,1380,-,Indonesia
TIRTA SAMUDRA XXVI,ARRIVAL,Port,GRESIK,2021-12-15 06:39 UTC,SAMPIT,SURABAYA ANCH,Not in Transit,525022013,9642655,2021-12-10 11:37 UTC,Cargo,3000,-,Indonesia
TIRTA SAMUDRA XXX,DEPARTURE,Port,GRESIK,2021-12-15 07:26 UTC,-,-,Not in Transit,525021088,9678836,2021-12-08 09:50 UTC,Cargo,3400,-,Indonesia
BINTANG MUTIARA XXX,ARRIVAL,Port,GRESIK,2021-12-15 08:05 UTC,PONTIANAK,SURABAYA RIVER ANCH,Not in Transit,525016636,0,2021-12-09 05:18 UTC,Tug,-,-,Indonesia
JAYANEGARA 304,ARRIVAL,Port,GRESIK,2021-12-15 08:39 UTC,SURABAYA,SURABAYA,Not in Transit,525200036,9791377,2021-12-15 08:33 UTC,Tug,-,-,Indonesia
JAYANEGARA 304,DEPARTURE,Port,GRESIK,2021-12-15 09:20 UTC,-,-,Not in Transit,525200036,9791377,2021-12-15 08:33 UTC,Tug,-,-,Indonesia
SAMUDERA 01,DEPARTURE,Port,GRESIK,2021-12-15 09:26 UTC,-,-,Not in Transit,525101696,9004724,2021-12-14 03:29 UTC,Special Craft,-,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-15 10:12 UTC,-,-,Not in Transit,525200068,9793648,2021-12-14 22:04 UTC,Tug,190,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-15 10:55 UTC,GRESIK,GRESIK,Not in Transit,525200068,9793648,2021-12-15 10:12 UTC,Tug,190,-,Indonesia
JAYANEGARA 304,ARRIVAL,Port,GRESIK,2021-12-15 11:04 UTC,GRESIK,GRESIK,Not in Transit,525200036,9791377,2021-12-15 09:20 UTC,Tug,-,-,Indonesia
SALBACH SEJAHTERA,DEPARTURE,Port,GRESIK,2021-12-15 14:18 UTC,-,-,Not in Transit,525500641,0,2021-11-05 15:19 UTC,Cargo,-,-,Indonesia
JAYANEGARA 304,DEPARTURE,Port,GRESIK,2021-12-15 14:31 UTC,-,-,Not in Transit,525200036,9791377,2021-12-15 09:20 UTC,Tug,-,-,Indonesia
SERVEWELL VIRTUE,ARRIVAL,Port,GRESIK,2021-12-15 14:57 UTC,GRESIK,GRESIK,Not in Transit,525005200,9656539,2021-12-14 04:41 UTC,Special Craft,-,-,Indonesia
SHANNON,ARRIVAL,Port,GRESIK,2021-12-15 16:02 UTC,SAMARINDA,SAMARINDA,Not in Transit,525019530,9016844,2021-12-12 23:31 UTC,Cargo,1561,-,Indonesia
TIRTA SAMUDRA VI,DEPARTURE,Port,GRESIK,2021-12-15 16:10 UTC,-,-,Not in Transit,525022256,8864385,2021-12-08 15:09 UTC,Tug,-,-,Indonesia
KLM WAHANA PELITA ST,DEPARTURE,Port,GRESIK,2021-12-15 16:52 UTC,-,-,In Transit,525700469,0,2021-11-20 09:43 UTC,Cargo,-,-,Indonesia
TB IVY,ARRIVAL,Port,GRESIK,2021-12-15 17:15 UTC,GRESIK,GRESIK,Not in Transit,525120003,0,2021-12-04 04:15 UTC,Tug,-,-,Indonesia
ALEXANDRIA,DEPARTURE,Port,GRESIK,2021-12-15 17:24 UTC,-,-,Not in Transit,525010058,8317227,2021-12-05 06:59 UTC,Tanker,4865,-,Indonesia
SMS VINCENT,DEPARTURE,Port,GRESIK,2021-12-15 23:17 UTC,-,-,Not in Transit,525019391,9459228,2021-12-14 00:20 UTC,Special Craft,96,-,Indonesia
SERVEWELL VIRTUE,DEPARTURE,Port,GRESIK,2021-12-15 23:26 UTC,-,-,Not in Transit,525005200,9656539,2021-12-14 04:41 UTC,Special Craft,-,-,Indonesia
CRANE VESTA,ARRIVAL,Port,GRESIK,2021-12-16 00:08 UTC,TAGONOURA,SURABAYA ANCH,In Transit,374426000,9774408,2021-11-17 12:42 UTC,Tanker,6485,-,Panama
CRANE VESTA,DEPARTURE,Port,GRESIK,2021-12-16 00:27 UTC,-,-,In Transit,374426000,9774408,2021-11-17 12:42 UTC,Tanker,6485,-,Panama
TEGAS JAYA,ARRIVAL,Port,GRESIK,2021-12-16 00:57 UTC,PERTAMINA ABHERKA,PERTAMINA ABHERKA,Not in Transit,525018371,9640229,2021-12-15 22:08 UTC,Special Craft,100,-,Indonesia
TB HARRY 03,DEPARTURE,Port,GRESIK,2021-12-16 02:06 UTC,-,-,Not in Transit,525006035,0,2021-10-23 16:23 UTC,Tug,-,-,Indonesia
TEGAS JAYA,DEPARTURE,Port,GRESIK,2021-12-16 02:34 UTC,-,-,Not in Transit,525018371,9640229,2021-12-15 22:08 UTC,Special Craft,100,-,Indonesia
TIRTA SAMUDRA XXVIII,DEPARTURE,Port,GRESIK,2021-12-16 02:38 UTC,-,-,Not in Transit,525020106,9664146,2021-12-06 23:16 UTC,Cargo,3400,-,Indonesia
GLORIA SENTOSA,DEPARTURE,Port,GRESIK,2021-12-16 03:07 UTC,-,-,Not in Transit,525006041,9047958,2021-12-13 10:39 UTC,Tanker,1380,-,Indonesia
HIBARINO,ARRIVAL,Port,GRESIK,2021-12-16 04:40 UTC,CHRISTMAS ISLAND,SURABAYA ANCH,Not in Transit,374686000,9776509,2021-12-12 13:07 UTC,Cargo,13913,-,Panama
JAYANEGARA 304,ARRIVAL,Port,GRESIK,2021-12-16 05:19 UTC,SURABAYA,SURABAYA,Not in Transit,525200036,9791377,2021-12-16 04:57 UTC,Tug,-,-,Indonesia
SERVEWELL VIRTUE,ARRIVAL,Port,GRESIK,2021-12-16 05:20 UTC,GRESIK,GRESIK,Not in Transit,525005200,9656539,2021-12-15 23:26 UTC,Special Craft,-,-,Indonesia
IMMANUEL WGSR 01,DEPARTURE,Port,GRESIK,2021-12-16 06:00 UTC,-,-,In Transit,525301304,0,2021-12-09 06:40 UTC,Tug,-,-,Indonesia
TIRTA SAMUDRA XXX,ARRIVAL,Port,GRESIK,2021-12-16 06:14 UTC,SAMPIT,SURABAYA RIVER ANCH,Not in Transit,525021088,9678836,2021-12-08 09:50 UTC,Cargo,3400,-,Indonesia
SERVEWELL VIRTUE,DEPARTURE,Port,GRESIK,2021-12-16 06:58 UTC,-,-,Not in Transit,525005200,9656539,2021-12-15 23:26 UTC,Special Craft,-,-,Indonesia
QUEBEC,DEPARTURE,Port,GRESIK,2021-12-16 07:32 UTC,-,-,Not in Transit,636017143,9744843,2021-12-11 04:46 UTC,Tanker,28543,-,Liberia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-16 07:40 UTC,-,-,Not in Transit,525200068,9793648,2021-12-15 10:12 UTC,Tug,190,-,Indonesia
ERAWAN 1,ARRIVAL,Port,GRESIK,2021-12-16 08:06 UTC,GRESIK,GRESIK,Not in Transit,525005350,9152208,2021-12-14 15:12 UTC,Tanker,5980,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-16 08:11 UTC,GRESIK,GRESIK,Not in Transit,525200068,9793648,2021-12-16 07:40 UTC,Tug,190,-,Indonesia
SMS VINCENT,ARRIVAL,Port,GRESIK,2021-12-16 08:14 UTC,GRESIK,GRESIK,Not in Transit,525019391,9459228,2021-12-15 23:17 UTC,Special Craft,96,-,Indonesia
SPT,ARRIVAL,Port,GRESIK,2021-12-16 08:16 UTC,SURABAYA,SURABAYA RIVER ANCH,Not in Transit,525012144,8032712,2021-12-15 06:56 UTC,Tanker,220,-,Indonesia
KT.SUBALI.2,DEPARTURE,Port,GRESIK,2021-12-16 08:40 UTC,-,-,Not in Transit,525100619,8993746,2021-12-12 18:08 UTC,Tug,-,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-16 08:46 UTC,-,-,Not in Transit,525200068,9793648,2021-12-16 07:40 UTC,Tug,190,-,Indonesia
FORTUNE ISLAND,DEPARTURE,Port,GRESIK,2021-12-16 08:53 UTC,-,-,Not in Transit,525005398,9140396,2021-12-11 09:34 UTC,Cargo,6243,-,Indonesia
AS MARINE LIMA,ARRIVAL,Port,GRESIK,2021-12-16 08:58 UTC,JAKARTA,SURABAYA ANCH,Not in Transit,525200460,9860893,2021-11-28 03:22 UTC,Tanker,4960,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-16 09:04 UTC,GRESIK,GRESIK,Not in Transit,525200068,9793648,2021-12-16 08:46 UTC,Tug,190,-,Indonesia
SPT,DEPARTURE,Port,GRESIK,2021-12-16 09:05 UTC,-,-,Not in Transit,525012144,8032712,2021-12-15 06:56 UTC,Tanker,220,-,Indonesia
CIPTA HARAPAN 99,ARRIVAL,Port,GRESIK,2021-12-16 09:27 UTC,GRESIK,GRESIK,Not in Transit,525200294,9862803,2021-12-10 20:13 UTC,Special Craft,-,-,Indonesia
JAYANEGARA 304,DEPARTURE,Port,GRESIK,2021-12-16 09:45 UTC,-,-,Not in Transit,525200036,9791377,2021-12-16 04:57 UTC,Tug,-,-,Indonesia
KT.SUBALI.2,ARRIVAL,Port,GRESIK,2021-12-16 11:29 UTC,GRESIK,GRESIK,Not in Transit,525100619,8993746,2021-12-16 08:40 UTC,Tug,-,-,Indonesia
PETROKIMIA GRESIK,ARRIVAL,Port,GRESIK,2021-12-16 12:10 UTC,BUNATI,BUNATI,Not in Transit,525010255,0,2021-12-15 23:20 UTC,High Speed Craft,-,-,Indonesia
TB.SUPER 89,ARRIVAL,Port,GRESIK,2021-12-16 12:20 UTC,-,-,Not in Transit,525300318,0,-,Tug,-,-,Indonesia
CAVALO MARINHO 05,ARRIVAL,Port,GRESIK,2021-12-16 12:21 UTC,BATU AMPAR,BATU AMPAR,Not in Transit,525023290,0,2021-11-20 02:35 UTC,Tug,-,-,Indonesia
SHANNON,DEPARTURE,Port,GRESIK,2021-12-16 12:21 UTC,-,-,Not in Transit,525019530,9016844,2021-12-12 23:31 UTC,Cargo,1561,-,Indonesia
TB.ALBANY 3,ARRIVAL,Port,GRESIK,2021-12-16 12:25 UTC,NUNUKAN,NUNUKAN,Not in Transit,525021347,0,2021-11-24 10:31 UTC,Tug,-,-,Indonesia
WOOJIN CHEMS,DEPARTURE,Port,GRESIK,2021-12-16 12:25 UTC,-,-,Not in Transit,440259000,9220196,2021-12-11 03:21 UTC,Tanker,12675,-,Korea
OCEAN MARINE 2,DEPARTURE,Port,GRESIK,2021-12-16 12:55 UTC,-,-,Not in Transit,525023361,0,2021-11-19 06:46 UTC,Tug,-,-,Indonesia
TMH 15,ARRIVAL,Port,GRESIK,2021-12-16 12:56 UTC,MUARA BERAU ANCH,MUARA BERAU ANCH,Not in Transit,525200594,0,2021-10-21 21:33 UTC,Tug,-,-,Indonesia
KM SETIA JAYA,ARRIVAL,Port,GRESIK,2021-12-16 13:02 UTC,PANGKAL BALAM,PANGKAL BALAM,Not in Transit,525000009,0,2021-12-16 02:05 UTC,Fishing,-,-,Indonesia
TB MIDUK OCEAN,ARRIVAL,Port,GRESIK,2021-12-16 13:24 UTC,SURABAYA,SURABAYA RIVER ANCH,Not in Transit,525023280,0,2021-12-09 13:06 UTC,Tug,-,-,Indonesia
CITRA 03,ARRIVAL,Port,GRESIK,2021-12-16 13:49 UTC,SURALAYA,CILEGON ANCH,Not in Transit,525010160,9655157,2021-12-09 01:35 UTC,Tug,-,-,Indonesia
TB LUCKY STAR,ARRIVAL,Port,GRESIK,2021-12-16 13:53 UTC,GRESIK,GRESIK,Not in Transit,525600644,0,2021-12-16 04:01 UTC,Tug,-,-,Indonesia
GOLDEN CYGNUS,ARRIVAL,Port,GRESIK,2021-12-16 13:57 UTC,TARAHAN,SURABAYA ANCH,Not in Transit,563079900,9498080,2021-12-14 06:02 UTC,Tanker,11575,-,Singapore
TB MARUTA IX,ARRIVAL,Port,GRESIK,2021-12-16 14:47 UTC,SAMPIT,SAMPIT,Not in Transit,525003303,0,2021-12-13 15:24 UTC,Tug,-,-,Indonesia
MITRA BUDAYA BERSAMA,DEPARTURE,Port,GRESIK,2021-12-16 14:55 UTC,-,-,Not in Transit,525900001,0,2021-10-26 14:39 UTC,Cargo,-,-,Indonesia
TB.SUPER 89,DEPARTURE,Port,GRESIK,2021-12-16 15:42 UTC,-,-,Not in Transit,525300318,0,-,Tug,-,-,Indonesia
SALBACH SETIA RAYA,DEPARTURE,Port,GRESIK,2021-12-16 16:19 UTC,-,-,Not in Transit,525500638,0,2021-11-05 15:16 UTC,Cargo,-,-,Indonesia
TB.SUPER 89,ARRIVAL,Port,GRESIK,2021-12-16 16:49 UTC,GRESIK,GRESIK,Not in Transit,525300318,0,2021-12-16 15:42 UTC,Tug,-,-,Indonesia
TB MIDUK OCEAN,DEPARTURE,Port,GRESIK,2021-12-16 17:31 UTC,-,-,Not in Transit,525023280,0,2021-12-09 13:06 UTC,Tug,-,-,Indonesia
BINTANG MUTIARA 28,ARRIVAL,Port,GRESIK,2021-12-16 17:51 UTC,SAMPIT,SURABAYA RIVER ANCH,Not in Transit,525020280,0,2021-11-28 04:38 UTC,Tug,-,-,Indonesia
TB LUCKY STAR,DEPARTURE,Port,GRESIK,2021-12-16 19:46 UTC,-,-,Not in Transit,525600644,0,2021-12-16 04:01 UTC,Tug,-,-,Indonesia
CIPTA HARAPAN 99,DEPARTURE,Port,GRESIK,2021-12-16 21:33 UTC,-,-,Not in Transit,525200294,9862803,2021-12-10 20:13 UTC,Special Craft,-,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-17 00:49 UTC,-,-,Not in Transit,525200068,9793648,2021-12-16 08:46 UTC,Tug,190,-,Indonesia
JAYANEGARA 304,ARRIVAL,Port,GRESIK,2021-12-17 01:06 UTC,SURABAYA,SURABAYA,Not in Transit,525200036,9791377,2021-12-17 00:48 UTC,Tug,-,-,Indonesia
POLAIR3,ARRIVAL,Port,GRESIK,2021-12-17 01:28 UTC,PASIR GUDANG,PASIR GUDANG,Not in Transit,525000003,0,2021-12-14 18:57 UTC,Other,-,-,Indonesia
SAHABAT SEJATI 8,ARRIVAL,Port,GRESIK,2021-12-17 01:50 UTC,BANJARMASIN,BANJARMASIN,Not in Transit,526063711,8403325,2021-12-08 01:44 UTC,Cargo,4364,-,Indonesia
KLM SUMBER HARAPAN K,ARRIVAL,Port,GRESIK,2021-12-17 02:17 UTC,GRESIK,GRESIK,Not in Transit,525500674,0,2021-11-29 21:04 UTC,Cargo,-,-,Indonesia
525000002 99,ARRIVAL,Port,GRESIK,2021-12-17 02:22 UTC,SAUMLAKI,SAUMLAKI,Not in Transit,525000002,0,2021-12-15 15:53 UTC,Tug,-,-,Indonesia
JAYANEGARA 304,DEPARTURE,Port,GRESIK,2021-12-17 02:26 UTC,-,-,Not in Transit,525200036,9791377,2021-12-17 00:48 UTC,Tug,-,-,Indonesia
TB MARUTA V,ARRIVAL,Port,GRESIK,2021-12-17 02:29 UTC,GRESIK,GRESIK,Not in Transit,525012252,0,2021-12-01 13:18 UTC,Tug,-,-,Indonesia
KM BAGUS,ARRIVAL,Port,GRESIK,2021-12-17 02:40 UTC,GRESIK,GRESIK,Not in Transit,525000000,0,2021-12-14 01:34 UTC,Cargo,-,-,Indonesia
ABDUL HAMID,ARRIVAL,Port,GRESIK,2021-12-17 02:51 UTC,AMAMAPARE,SURABAYA ANCH,Not in Transit,525120009,9329837,2021-12-09 20:53 UTC,Cargo,56011,-,Indonesia
JAYANEGARA 304,ARRIVAL,Port,GRESIK,2021-12-17 03:03 UTC,GRESIK,GRESIK,Not in Transit,525200036,9791377,2021-12-17 02:26 UTC,Tug,-,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-17 03:05 UTC,SURABAYA,SURABAYA,Not in Transit,525200068,9793648,2021-12-17 02:58 UTC,Tug,190,-,Indonesia
KM. MEGA ANTARA,DEPARTURE,Port,GRESIK,2021-12-17 04:03 UTC,-,-,Not in Transit,525020264,0,2021-12-08 21:35 UTC,Cargo,-,-,Indonesia
JAYANEGARA 304,DEPARTURE,Port,GRESIK,2021-12-17 04:15 UTC,-,-,Not in Transit,525200036,9791377,2021-12-17 02:26 UTC,Tug,-,-,Indonesia
ERAWAN 1,DEPARTURE,Port,GRESIK,2021-12-17 04:16 UTC,-,-,Not in Transit,525005350,9152208,2021-12-14 15:12 UTC,Tanker,5980,-,Indonesia
GAS AMARIN JAYA,DEPARTURE,Port,GRESIK,2021-12-17 04:21 UTC,-,-,Not in Transit,525900619,9364966,2021-12-14 01:39 UTC,Tanker,16800,-,Indonesia
SAHABAT SEJATI 8,DEPARTURE,Port,GRESIK,2021-12-17 04:21 UTC,-,-,Not in Transit,526063711,8403325,2021-12-08 01:44 UTC,Cargo,4364,-,Indonesia
JAYANEGARA 304,ARRIVAL,Port,GRESIK,2021-12-17 04:32 UTC,GRESIK,GRESIK,Not in Transit,525200036,9791377,2021-12-17 04:15 UTC,Tug,-,-,Indonesia
SEABIRD,DEPARTURE,Port,GRESIK,2021-12-17 05:59 UTC,-,-,Not in Transit,636020973,9707687,2021-12-08 12:47 UTC,Cargo,63553,-,Liberia
TB KARYA STAR 9,ARRIVAL,Port,GRESIK,2021-12-17 07:20 UTC,SURABAYA ANCH,SURABAYA ANCH,Not in Transit,525400211,0,2021-11-28 09:20 UTC,Tug,-,-,Indonesia
JAYANEGARA 304,DEPARTURE,Port,GRESIK,2021-12-17 07:35 UTC,-,-,Not in Transit,525200036,9791377,2021-12-17 04:15 UTC,Tug,-,-,Indonesia
JAYANEGARA 303,ARRIVAL,Port,GRESIK,2021-12-17 07:44 UTC,SURABAYA,SURABAYA,Not in Transit,525200037,9791365,2021-12-17 06:45 UTC,Tug,-,-,Indonesia
JING SHUN,ARRIVAL,Port,GRESIK,2021-12-17 07:44 UTC,MAILIAO,SURABAYA ANCH,Not in Transit,477848300,9246841,2021-12-08 17:31 UTC,Cargo,28492,-,Hong Kong
HS LUCK,ARRIVAL,Port,GRESIK,2021-12-17 08:30 UTC,SURABAYA ANCH,SURABAYA ANCH,Not in Transit,352986200,9244855,2021-12-17 06:53 UTC,Cargo,52421,-,Panama
KMN AMANDA JAYA,ARRIVAL,Port,GRESIK,2021-12-17 09:13 UTC,KENDARI,BATU AMPAR ANCH,Not in Transit,525000001,9905954,2021-12-15 06:44 UTC,Fishing,-,-,Indonesia
TIRTA SAMUDRA XXVI,DEPARTURE,Port,GRESIK,2021-12-17 09:13 UTC,-,-,Not in Transit,525022013,9642655,2021-12-10 11:37 UTC,Cargo,3000,-,Indonesia
KLM BUDI KARYA,ARRIVAL,Port,GRESIK,2021-12-17 09:19 UTC,-,-,In Transit,525600149,0,-,Special Craft,-,-,China
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-17 09:22 UTC,-,-,Not in Transit,525200068,9793648,2021-12-17 02:58 UTC,Tug,190,-,Indonesia
JAYANEGARA 303,DEPARTURE,Port,GRESIK,2021-12-17 09:29 UTC,-,-,Not in Transit,525200037,9791365,2021-12-17 06:45 UTC,Tug,-,-,Indonesia
TIRTA SAMUDRA XXXVI,ARRIVAL,Port,GRESIK,2021-12-17 09:39 UTC,KUMAI,SURABAYA ANCH,Not in Transit,525020262,9738301,2021-12-07 12:24 UTC,Cargo,2845,-,Indonesia
TB KARYA STAR 9,DEPARTURE,Port,GRESIK,2021-12-17 10:16 UTC,-,-,Not in Transit,525400211,0,2021-11-28 09:20 UTC,Tug,-,-,Indonesia
KM. KURNIA HARAPAN,ARRIVAL,Port,GRESIK,2021-12-17 10:31 UTC,PONTIANAK,PONTIANAK,Not in Transit,525800291,0,2021-11-29 13:22 UTC,Cargo,-,-,Indonesia
PAN MARINE 10,DEPARTURE,Port,GRESIK,2021-12-17 10:31 UTC,-,-,Not in Transit,525016177,9441805,2021-12-09 23:06 UTC,Special Craft,17,-,Indonesia
JAYANEGARA 303,ARRIVAL,Port,GRESIK,2021-12-17 10:42 UTC,GRESIK,GRESIK,Not in Transit,525200037,9791365,2021-12-17 09:29 UTC,Tug,-,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-17 10:43 UTC,GRESIK,GRESIK,Not in Transit,525200068,9793648,2021-12-17 09:22 UTC,Tug,190,-,Indonesia
EQUINOX,ARRIVAL,Port,GRESIK,2021-12-17 10:55 UTC,CIGADING,SURABAYA ANCH,Not in Transit,572145220,9486245,2021-12-15 12:51 UTC,Tanker,19976,-,Tuvalu
KLM BUDI KARYA,DEPARTURE,Port,GRESIK,2021-12-17 11:40 UTC,-,-,In Transit,525600149,0,-,Special Craft,-,-,China
SEJARAH TIRTA EMAS,ARRIVAL,Port,GRESIK,2021-12-17 12:02 UTC,BONTANG,BONTANG,Not in Transit,525500074,0,2021-11-06 01:44 UTC,Cargo,-,-,Indonesia
525000002 99,DEPARTURE,Port,GRESIK,2021-12-17 12:21 UTC,-,-,Not in Transit,525000002,0,2021-12-15 15:53 UTC,Tug,-,-,Indonesia
AS MARINE LIMA,DEPARTURE,Port,GRESIK,2021-12-17 12:39 UTC,-,-,Not in Transit,525200460,9860893,2021-11-28 03:22 UTC,Tanker,4960,-,Indonesia
SINAR MARATUA,ARRIVAL,Port,GRESIK,2021-12-17 12:45 UTC,BONTANG,SURABAYA ANCH,Not in Transit,525109006,9276327,2021-12-12 22:18 UTC,Tanker,3599,-,Indonesia
MERATUS BARITO,ARRIVAL,Port,GRESIK,2021-12-17 13:02 UTC,BANJARMASIN,BANJARMASIN,In Transit,525025043,9458547,2021-12-16 04:04 UTC,Cargo,5073,-,Indonesia
GILI IYANG,DEPARTURE,Port,GRESIK,2021-12-17 13:07 UTC,-,-,Not in Transit,525000109,9717565,2021-12-10 12:37 UTC,Passenger,1109,-,Indonesia
AS PERFECT 3,ARRIVAL,Port,GRESIK,2021-12-17 13:08 UTC,SURABAYA RIVER ANCH,SURABAYA RIVER ANCH,Not in Transit,525010404,0,2021-11-17 22:08 UTC,Passenger,-,-,Indonesia
MICHELLE 219 03,ARRIVAL,Port,GRESIK,2021-12-17 13:11 UTC,BANJARMASIN,BANJARMASIN,Not in Transit,525018246,0,2021-11-12 05:38 UTC,Tug,-,-,Indonesia
MERATUS BARITO,DEPARTURE,Port,GRESIK,2021-12-17 13:32 UTC,-,-,In Transit,525025043,9458547,2021-12-16 04:04 UTC,Cargo,5073,-,Indonesia
TB.AS JAYA 9,ARRIVAL,Port,GRESIK,2021-12-17 13:34 UTC,JAKARTA,JAKARTA,Not in Transit,525000009,0,2021-12-17 12:49 UTC,Tug,-,-,Indonesia
KMN AMANDA JAYA,DEPARTURE,Port,GRESIK,2021-12-17 13:49 UTC,-,-,Not in Transit,525000001,9905954,2021-12-15 06:44 UTC,Fishing,-,-,Indonesia
TB MARUTA V,DEPARTURE,Port,GRESIK,2021-12-17 14:00 UTC,-,-,Not in Transit,525012252,0,2021-12-01 13:18 UTC,Tug,-,-,Indonesia
SEJARAH TIRTA EMAS,DEPARTURE,Port,GRESIK,2021-12-17 14:08 UTC,-,-,Not in Transit,525500074,0,2021-11-06 01:44 UTC,Cargo,-,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-17 14:09 UTC,-,-,Not in Transit,525200068,9793648,2021-12-17 09:22 UTC,Tug,190,-,Indonesia
ATIA MULIA SEJAHTERA,DEPARTURE,Port,GRESIK,2021-12-17 14:13 UTC,-,-,Not in Transit,525800233,0,-,Pleasure Craft,-,-,Indonesia
JAYANEGARA 303,DEPARTURE,Port,GRESIK,2021-12-17 14:13 UTC,-,-,Not in Transit,525200037,9791365,2021-12-17 09:29 UTC,Tug,-,-,Indonesia
